source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds003798	sub-CC0002	ses-core1p1	2	2	0	72637341	15556377	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0003	ses-core1p1	2	2	0	72745528	16075633	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0003	ses-core1p2	2	2	0	293878684	15966250	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0005	ses-core1p1	2	2	0	72138948	16044856	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0005	ses-core1p2	2	2	0	303057456	17362870	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0006	ses-core1p1	2	2	0	75828702	18002762	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0006	ses-core1p3p0	2	2	1	337628366	18457368	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0006	ses-core2p2	4	1	1	1437442618	11807472	1670.1999715566635	417.5499928891659	1536000	384000.0	anat,fmap,func
ds003798	sub-CC0007	ses-core1p1	2	2	0	71762614	17401443	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0007	ses-core1p2	2	2	0	299403410	17882240	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0007	ses-core2p2	4	1	1	1392620689	10983975	1670.1999715566635	417.5499928891659	1536000	384000.0	anat,fmap,func
ds003798	sub-CC0008	ses-core1p1	2	2	0	79231095	18868945	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0008	ses-core1p2	2	2	0	338799229	20047227	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0008	ses-core2p2	4	1	1	1477631203	12747294	1670.1999715566635	417.5499928891659	1536000	384000.0	anat,fmap,func
ds003798	sub-CC0009	ses-core1p1	2	2	0	78524302	18735882	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0009	ses-core1p2	2	2	0	342354869	18984080	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0010	ses-core1p2	2	2	0	340103389	20987266	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0011	ses-core1p2	2	2	0	333423475	18545804	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0011	ses-core2p2	4	1	1	1400178741	12702961	1670.1999715566635	417.5499928891659	1536000	384000.0	anat,fmap,func
ds003798	sub-CC0012	ses-core1p1	2	2	0	73055425	16936646	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0012	ses-core1p3p0	2	2	1	300629592	17763469	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0012	ses-core2p2	4	1	1	1408219623	11163931	1670.1999715566635	417.5499928891659	1536000	384000.0	anat,fmap,func
ds003798	sub-CC0013	ses-core1p1	2	2	0	76618198	17873502	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0013	ses-core1p2	2	2	0	321410988	19101156	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0014	ses-core1p1	2	2	0	74925121	17628809	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0014	ses-core1p3p0	2	2	1	302975579	17965765	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0015	ses-core1p1	2	2	0	77523210	17591823	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0016	ses-core1p1	2	2	0	80284542	18401967	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0018	ses-core1p1	2	2	0	72330440	15884228	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0023	ses-core1p1	2	2	0	76433099	17686627	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0024	ses-core1p3p1	2	2	1	319398527	19445273	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0024	ses-core2p2	4	1	1	1464428284	11738405	1670.1999715566635	417.5499928891659	1536000	384000.0	anat,fmap,func
ds003798	sub-CC0025	ses-core1p1	2	2	0	77005918	18023059	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0025	ses-core1p3p1	2	2	1	322002601	19331688	800.0	400.0	716800	358400.0	anat,fmap,func
ds003798	sub-CC0026	ses-core1p1	2	2	0	74931122	16698528	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0027	ses-core1p1	2	2	0	73588459	17358238	800.0	400.0	385024	192512.0	anat,fmap,func
ds003798	sub-CC0027	ses-core1p3p0	2	2	1	305287157	18371472	800.0	400.0	716800	358400.0	anat,fmap,func
